charge,smiles,b,s,o,n,homo,lumo,gap,sheafHOMO,sheafLUMO,sheafGAP,electrons
0,[H]c1c([H])c([H])c2c(c([H])bc3c4c5c([H])c([H])c6c([H])c([H])c7c([H])c([H])c([H])c([H])c7c6c5c-4c32)c1[H],1,0,0,0,-6.0293,-1.484,4.5453,2.5425,2.6724,0.12990000000000013,25.0
0,[H]B1c2bc([H])c([H])bc2-c2c1c([H])c([H])c1c2-c2c(c([H])c3c4c(c5c([H])c6c([H])c([H])c([H])c([H])c6c([H])c5c3c2[H])C([H])=C4[H])B1[H],4,0,0,0,-6.1063,-1.868,4.2383,1.826,2.0491,0.22310000000000008,30.0
0,[H]B1C([H])=C([H])c2c1c([H])c1c(c2[H])c([H])c([H])c2c1bc([H])c1c([H])c3c([H])c([H])c4c(c3c([H])c12)B([H])C([H])=C4[H],3,0,0,0,-6.2951,-1.7437,4.551399999999999,1.8703,2.0,0.12969999999999993,25.0
0,[H]c1bc2c(bc1[H])c1c([H])c3c(c([H])c([H])c4c5c([H])c([H])c([H])c([H])c5c([H])c([H])c34)c([H])c1c1c2bc([H])c2c([H])c3c([H])c([H])c([H])bc3c([H])c21,4,0,0,0,-6.0677,-1.1863,4.8814,1.7501,1.8986,0.14850000000000008,34.0
0,[H]B1c2c(c3c(c([H])c([H])c4c([H])c([H])c([H])c([H])c43)c3c2=C([H])C=3[H])B([H])c2bc([H])c3c(c([H])c([H])c4c([H])c([H])c([H])c([H])c43)c21,3,0,0,0,-6.6051,-1.8063,4.7988,1.8744,2.4083,0.5339,29.0
0,[H]B1C([H])=C([H])c2c([H])c([H])c3c([H])c4c(bc3c21)c([H])c([H])c1c([H])c2c(c([H])c([H])c3c5c(c([H])c([H])c32)C([H])=C5[H])c([H])c14,2,0,0,0,-6.0936,-1.8163,4.2773,1.9584,2.2402,0.2818000000000003,29.0
0,[H]B1c2c([H])c([H])c([H])c([H])c2B([H])c2c([H])c3c(c([H])c21)B([H])c1c(c([H])c2bc4c([H])c5c([H])c6bc7c([H])c([H])c([H])c([H])c7bc6c([H])c5c([H])c4bc2c1[H])B3[H],8,0,0,0,-5.2721,-2.0749,3.1972,1.555,1.658,0.10299999999999998,34.0
0,[H]B1C([H])=C([H])B([H])c2c1c1bc([H])c([H])bc1c1c2c([H])c([H])c2c([H])c([H])c([H])c([H])c21,4,0,0,0,-6.1739,-2.2831,3.8908,1.4161,1.7392,0.32310000000000016,18.0
0,[H]c1bc2c([H])c([H])c3bc4c([H])c5c(c([H])c4bc3c2bc1[H])-c1bc2c([H])c3c(c([H])c([H])c4c([H])c([H])c([H])c([H])c43)c([H])c2bc1-5,6,0,0,0,-5.4097,-0.9832,4.4265,1.6857,1.7004,0.014699999999999935,30.0
0,[H]c1bc2c([H])bc3c([H])c([H])c4c([H])c5bc6c([H])c7c([H])c([H])c([H])c([H])c7c([H])c6bc5c([H])c4c3c2c([H])c1[H],4,0,0,0,-5.2183,-1.4485,3.7698,1.6802,1.8113,0.1311,26.0
0,[H]B1C([H])=C([H])B([H])c2c1c1c([H])c3c([H])c([H])c4c([H])c5c([H])c([H])c([H])bc5c([H])c4c3c([H])c1c1bc([H])c3c([H])c([H])c([H])c([H])c3c21,4,0,0,0,-6.5675,-1.8725,4.695,1.6886,1.8803,0.19169999999999998,30.0
0,[H]B1C([H])=C([H])B([H])c2c([H])c3c(c([H])c21)B([H])c1c-3c2c([H])c([H])c3c(c2c2bc([H])c([H])bc12)C([H])=C([H])B3[H],6,0,0,0,-6.2779,-2.5815,3.6964,1.503,1.7329,0.22990000000000022,22.0
0,[H]B1c2bc3c([H])c([H])c([H])c([H])c3bc2-c2c1c1c([H])c3c([H])c([H])c([H])c([H])c3c([H])c1c1c([H])c3bc4c(bc3c([H])c21)=C([H])C=4[H],5,0,0,0,-6.33,-1.6226,4.7074,1.6597,1.9261,0.26639999999999997,30.0
0,[H]c1bc2c(c([H])c1[H])c([H])c([H])c1c3c([H])c([H])c([H])c([H])c3c3c([H])c([H])c([H])c([H])c3c21,1,0,0,0,-6.6916,-0.5001,6.1915,1.8761,2.7365,0.8603999999999998,21.0
0,[H]C1=C([H])c2c1bc1c([H])c3c([H])c([H])c4c5c([H])c([H])c([H])c([H])c5c5c([H])c([H])c6c([H])c([H])c([H])c([H])c6c5c4c3c([H])c1c2[H],1,0,0,0,-6.5943,-0.7265,5.8678,2.1324,2.5839,0.4514999999999998,31.0
0,[H]c1bc2c([H])c3c([H])c4bc([H])c5c([H])c6c([H])c([H])c([H])bc6c([H])c5c4c([H])c3c([H])c2bc1[H],4,0,0,0,-5.9013,-1.2624,4.6389,1.573,1.7994,0.22640000000000016,22.0
0,[H]B1C([H])=C([H])c2c([H])c([H])c3c(c21)B([H])c1c2c(c4c([H])bc5c([H])c([H])c([H])c([H])c5c4c1B3[H])C([H])=C([H])B2[H],5,0,0,0,-6.7604,-1.8111,4.9493,1.6708,1.859,0.18819999999999992,23.0
0,[H]B1C([H])=C([H])C2=C1c1bc3c(bc1B2[H])c1c(c2bc([H])c4c([H])c([H])c([H])c([H])c4c23)B([H])C([H])=C([H])B1[H],7,0,0,0,-6.505,-2.7496,3.7554,1.4275,1.6121,0.1846000000000001,21.0
