smiles,HOMO_eV,LUMO_eV,GAP_eV,sheafHOMO,sheafLUMO,sheafGAP,electrons
c1ccc2cc3c(ccc4cc5ccc6c7ccccc7ccc6c5cc43)cc2c1,-6.813,-0.863,5.95,1.8739,2.5626,0.6887000000000003,30.0
c1ccc2cc3c(ccc4cc5ccc6cc7ccccc7cc6c5cc43)cc2c1,-6.681,-1.042,5.639,1.9041,2.5661,0.6620000000000001,30.0
c1ccc2cc3c(ccc4cc5ccc6ccc7ccccc7c6c5cc43)cc2c1,-6.757,-0.909,5.848,1.8759,2.5628,0.6869000000000003,30.0
c1ccc2c(c1)ccc1c3cc4ccc5ccc6ccccc6c5c4cc3ccc21,-6.661,-1.041,5.62,1.8862,2.5965,0.7102999999999997,30.0
c1ccc2c(c1)ccc1c3cc4ccc5c6ccccc6ccc5c4cc3ccc21,-6.678,-1.001,5.677,1.8866,2.5611,0.6745000000000001,30.0
c1ccc2c(c1)ccc1c3cc4c5ccccc5c5ccccc5c4cc3ccc21,-6.864,-0.855,6.009,1.9152,2.6739,0.7587000000000002,30.0
c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5c5ccccc5c34)cc12,-6.695,-0.968,5.727,1.9326,2.6314,0.6988000000000001,30.0
c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3ccc5ccccc5c34)cc12,-6.791,-0.891,5.9,1.8848,2.6221,0.7373000000000001,30.0
c1ccc2c(c1)ccc1cc3ccc4c5ccccc5c5ccccc5c4c3cc12,-6.684,-0.968,5.717,1.9328,2.6331,0.7003000000000001,30.0
c1ccc2c(c1)ccc1c3ccccc3c3c(ccc4ccc5ccccc5c43)c21,-6.819,-0.821,5.998,1.9601,2.7091,0.7489999999999999,30.0
c1ccc2c(c1)ccc1cc3ccc4c(ccc5ccc6ccccc6c54)c3cc12,-6.797,-0.895,5.901,1.8852,2.635,0.7497999999999998,30.0
c1ccc2c(c1)ccc1c3cc4c(ccc5c6ccccc6ccc45)cc3ccc21,-6.684,-1.0,5.683,1.8865,2.5696,0.6830999999999998,30.0
c1ccc2c(c1)ccc1c3cc4c(ccc5ccc6ccccc6c54)cc3ccc21,-6.655,-1.036,5.618,1.8865,2.597,0.7104999999999999,30.0
c1ccc2cc3c(ccc4c5ccccc5c5ccc6ccccc6c5c34)cc2c1,-6.585,-1.021,5.564,1.9775,2.5424,0.5649000000000002,30.0
c1ccc2cc3c(ccc4c5ccccc5c5c6ccccc6ccc5c34)cc2c1,-6.602,-1.054,5.548,1.9762,2.5677,0.5914999999999999,30.0
c1ccc2cc3c(ccc4c3ccc3c4ccc4ccc5ccccc5c43)cc2c1,-6.683,-1.002,5.682,1.8951,2.5506,0.6555000000000002,30.0
c1ccc2cc3c(ccc4c3ccc3c5cc6ccccc6cc5ccc34)cc2c1,-6.778,-1.041,5.736,1.8557,2.5167,0.6610000000000003,30.0
c1ccc2cc3c(ccc4c3ccc3c5ccc6ccccc6c5ccc43)cc2c1,-6.71,-0.988,5.722,1.8953,2.536,0.6407,30.0
c1ccc2cc3c(ccc4c3ccc3c5ccccc5c5ccccc5c43)cc2c1,-6.763,-0.945,5.819,1.8962,2.5775,0.6813,30.0
c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccc4ccccc4c2ccc31,-6.828,-0.879,5.948,1.9209,2.711,0.7900999999999998,30.0
c1ccc2c(c1)ccc1c3ccc4ccc5ccccc5c4c3c3ccccc3c21,-6.901,-0.765,6.135,1.9583,2.7394,0.7810999999999999,30.0
c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3c5ccccc5ccc34)cc12,-6.819,-0.878,5.941,1.8852,2.5948,0.7096000000000002,30.0
c1ccc2c(c1)ccc1cc3ccc4c(ccc5c6ccccc6ccc54)c3cc12,-6.841,-0.883,5.958,1.8848,2.6144,0.7295999999999998,30.0
c1ccc2cc3c(ccc4c5ccc6ccccc6c5c5ccccc5c34)cc2c1,-6.611,-1.092,5.519,1.9749,2.5551,0.5801999999999998,30.0
c1ccc2cc3c(ccc4c5cc6ccccc6cc5c5ccccc5c34)cc2c1,-6.512,-1.153,5.359,1.9606,2.5354,0.5748000000000002,30.0
c1ccc2cc3c(ccc4c5cc6ccc7ccccc7c6cc5ccc34)cc2c1,-6.579,-1.122,5.456,1.8814,2.5104,0.6290000000000002,30.0
c1ccc2cc3c(ccc4c5cc6c(ccc7ccccc76)cc5ccc34)cc2c1,-6.577,-1.125,5.452,1.8814,2.5158,0.6344000000000001,30.0
c1ccc2cc3c(ccc4c5c6ccccc6ccc5c5ccccc5c34)cc2c1,-6.58,-1.089,5.491,1.9763,2.5534,0.5771,30.0
c1ccc2cc3c(ccc4c3ccc3ccc5c6ccccc6ccc5c34)cc2c1,-6.669,-1.024,5.644,1.8953,2.5466,0.6513000000000002,30.0
c1ccc2cc3c(ccc4c3ccc3ccc5cc6ccccc6cc5c34)cc2c1,-6.684,-1.013,5.671,1.8562,2.5552,0.6990000000000001,30.0
c1ccc2cc3c(ccc4c3ccc3ccc5ccc6ccccc6c5c34)cc2c1,-6.69,-0.968,5.722,1.8951,2.5511,0.6559999999999999,30.0
c1ccc2c(c1)ccc1c2c2ccccc2c2c3ccccc3c3ccccc3c12,-6.793,-0.803,5.99,2.0368,2.7495,0.7126999999999999,30.0
c1ccc2c(c1)ccc1cc3c4ccccc4c4ccc5ccccc5c4c3cc12,-6.776,-0.87,5.906,1.9637,2.672,0.7083000000000002,30.0
c1ccc2c(c1)ccc1cc3c4ccccc4c4c5ccccc5ccc4c3cc12,-6.808,-0.85,5.958,1.9621,2.7038,0.7417000000000002,30.0
c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1c2ccccc2ccc31,-6.841,-0.842,5.998,1.9609,2.701,0.7401,30.0
c1ccc2c(c1)ccc1cc3c(cc12)c1ccccc1c1ccc2ccccc2c13,-6.818,-0.861,5.957,1.9626,2.6981,0.7355000000000003,30.0
c1ccc2c(c1)c1ccccc1c1cc3c4ccccc4c4ccccc4c3cc21,-7.122,-0.682,6.44,2.0,3.0,1.0,30.0
c1ccc2c(c1)ccc1ccc3cc4c5ccccc5c5ccccc5c4cc3c12,-6.85,-0.907,5.944,1.9156,2.7676,0.8519999999999999,30.0
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccc4ccccc4c2c13,-6.734,-0.903,5.83,1.9213,2.6784,0.7570999999999999,30.0
c1ccc2cc3c(cc2c1)c1c2ccccc2ccc1c1ccc2ccccc2c13,-6.609,-1.027,5.582,1.9829,2.618,0.6350999999999998,30.0
c1ccc2cc3c(cc2c1)c1ccc2ccccc2c1c1c2ccccc2ccc31,-6.678,-0.962,5.715,1.9844,2.618,0.6335999999999999,30.0
c1ccc2cc3c(cc2c1)c1ccc2ccccc2c1c1ccc2ccccc2c31,-6.636,-1.034,5.602,1.9837,2.6259,0.6422000000000001,30.0
c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2c2ccccc2c31,-6.608,-0.952,5.656,2.0283,2.6788,0.6504999999999996,30.0
c1ccc2cc3c(cc2c1)c1ccccc1c1c3ccc2ccc3ccccc3c21,-6.771,-0.895,5.876,1.9215,2.6775,0.7560000000000002,30.0
c1ccc2c(c1)ccc1cc3c(ccc4ccc5ccc6ccccc6c5c43)cc12,-6.754,-0.906,5.847,1.8852,2.623,0.7378000000000002,30.0
c1ccc2c(c1)ccc1ccc3cc4c(ccc5ccc6ccccc6c54)cc3c12,-6.634,-1.083,5.551,1.8866,2.6522,0.7656000000000001,30.0
c1ccc2c(c1)ccc1cc3ccc4ccc5ccc6ccccc6c5c4c3cc12,-6.751,-0.91,5.841,1.8844,2.6353,0.7508999999999999,30.0
c1ccc2c(c1)ccc1ccc3cc4ccc5ccc6ccccc6c5c4cc3c12,-6.624,-1.041,5.582,1.8857,2.6522,0.7665000000000002,30.0
c1ccc2cc3cc4c(ccc5ccc6ccc7ccccc7c6c54)cc3cc2c1,-6.298,-1.356,4.942,1.8755,2.4469,0.5713999999999999,30.0
c1ccc2cc3cc4c(ccc5ccc6cc7ccccc7cc6c54)cc3cc2c1,-6.23,-1.509,4.721,1.905,2.4173,0.5123,30.0
c1ccc2cc3cc4c(ccc5ccc6c7ccccc7ccc6c54)cc3cc2c1,-6.358,-1.369,4.989,1.8739,2.4544,0.5805000000000002,30.0
